Variabel,Enkät,Beskrivning,Dubbelkodning,Itemnr,Enkättext,Kodlista
whodecis_1,SLOSH 06 working,,,A14_q,Det är klart vem som fattar beslut i olika frågor på min arbetsplats,28
whodecis_2,SLOSH 08 working,,,21_s,Det är klart vem som fattar beslut i olika frågor på min arbetsplats,28
skaraned_1,SLOSH 06 working,,,A15,"Finns det planer på din arbetsplats att utöka verksamheten, skära ned eller lägga ned den helt?",30
skaraned_2,SLOSH 08 working,,,18,"Finns det planer på din arbetsplats att utöka verksamheten, skära ned eller lägga ned den helt?",30
value_1,SLOSH 06 working,,,A16_a,Hur stämmer detta in på dig? Använd gärna mellanstegen också! @ Jag tror att jag ibland försöker bevisa mitt värde genom arbete,31
value_2,SLOSH 08 working,,1.0,19_a,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @ Jag tror att jag ibland försöker bevisa mitt värde genom arbete,31
value_2,SLOSH 08 non-working,,1.0,19_a,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @ Jag tror att jag ibland försöker bevisa mitt värde genom arbete,31
selfwork_1,SLOSH 06 working,,,A16_b,Hur stämmer detta in på dig? Använd gärna mellanstegen också! @ Min självkänsla är alltför mycket beroende av vad jag åstadkommer i mitt arbete,31
selfwork_2,SLOSH 08 working,,1.0,19_b,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @ Min självkänsla är alltför mycket beroende av vad jag åstadkommer i mitt arbete,31
selfwork_2,SLOSH 08 non-working,,1.0,19_b,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @ Min självkänsla är alltför mycket beroende av vad jag åstadkommer i mitt arbete,31
better_1,SLOSH 06 working,,,A16_c,Hur stämmer detta in på dig? Använd gärna mellanstegen också! @ Jag känner ibland att jag måste vara lite bättre än andra för att duga inför mig själv,31
better_2,SLOSH 08 working,,1.0,19_c,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @Jag känner ibland att jag måste vara lite bättre än andra för att duga inför mig själv,31
better_2,SLOSH 08 non-working,,1.0,19_c,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @Jag känner ibland att jag måste vara lite bättre än andra för att duga inför mig själv,31
constrai_1,SLOSH 06 working,,,A16_d,Hur stämmer detta in på dig? Använd gärna mellanstegen också! @ Jag har känt ett inre tvång att åstadkomma något värdefullt genom mitt arbete,31
constrai_2,SLOSH 08 working,,1.0,19_d,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @ Jag har känt ett inre tvång att åstadkomma något värdefullt genom mitt arbete,31
constrai_2,SLOSH 08 non-working,,1.0,19_d,Hur stämmer nedanstående påståenden in på dig? Använd gärna mellanstegen också! @ Jag har känt ett inre tvång att åstadkomma något värdefullt genom mitt arbete,31
lacktime_1,SLOSH 06 working,,,A17_a,Vilka av följande påståenden tycker du stämmer på dig? Ange ett alternativ på varje fråga. @ I mitt arbete kommer jag ofta i tidsnöd,32
awakejob_1,SLOSH 06 working,,,A17_b,Vilka av följande påståenden tycker du stämmer på dig? Ange ett alternativ på varje fråga. @ Det händer mig ofta att jag redan när jag vaknar börjar tänka på arbetsrelaterade problem,32
awakejob_3,SLOSH 10 working,,,51_a,Vilka av följande påståenden tycker du stämmer på dig? @ Det händer ofta att jag redan när jag vaknar börjar tänka på arbetsrelaterade problem.,32
awakejob_4,SLOSH 12 working,,,53_a,Vilka av följande påståenden tycker du stämmer på dig? @ Det händer ofta att jag redan när jag vaknar börjar tänka på arbetsrelaterade problem.,32
awakejob_5,SLOSH 14 working,,,51_a,Vilka av följande påståenden tycker du stämmer på dig? @ Det händer ofta att jag redan när jag vaknar börjar tänka på arbetsrelaterade problem.,33
awakejob_6,SLOSH 16 working,,,57_a,Vilka av följande påståenden tycker du stämmer på dig? @ Det händer ofta att jag redan när jag vaknar börjar tänka på arbetsrelaterade problem.,32
awakejob_7,SLOSH 18 working,,,52_a,Vilka av följande påståenden tycker du stämmer på dig? @ Det händer ofta att jag redan när jag vaknar börjar tänka på arbetsrelaterade problem.,33
relxhome_1,SLOSH 06 working,,,A17_c,Vilka av följande påståenden tycker du stämmer på dig? Ange ett alternativ på varje fråga. @ När jag kommer hem kan jag lätt slappna av och ”koppla bort” arbetet,32
relxhome_3,SLOSH 10 working,,,51_b,Vilka av följande påståenden tycker du stämmer på dig? @ När jag kommer hem kan jag lätt slappna av och ”koppla bort” arbetet.,32
relxhome_4,SLOSH 12 working,,,53_b,Vilka av följande påståenden tycker du stämmer på dig? @ När jag kommer hem kan jag lätt slappna av och ”koppla bort” arbetet.,32
relxhome_5,SLOSH 14 working,,,51_b,Vilka av följande påståenden tycker du stämmer på dig? @ När jag kommer hem kan jag lätt slappna av och ”koppla bort” arbetet.,33
relxhome_6,SLOSH 16 working,,,57_b,Vilka av följande påståenden tycker du stämmer på dig? @ När jag kommer hem kan jag lätt slappna av och ”koppla bort” arbetet.,33
relxhome_7,SLOSH 18 working,,,52_b,Vilka av följande påståenden tycker du stämmer på dig? @ När jag kommer hem kan jag lätt slappna av och ”koppla bort” arbetet.,33
tmuchjob_1,SLOSH 06 working,,,A17_d,Vilka av följande påståenden tycker du stämmer på dig? Ange ett alternativ på varje fråga. @ Mina närmaste säger att jag offrar för mycket för arbetet,32
evethink_1,SLOSH 06 working,,,A17_e,"Vilka av följande påståenden tycker du stämmer på dig? Ange ett alternativ på varje fråga. @ Jag blir sällan kvitt arbetet, även på kvällarna tänker jag på det",32
evethink_3,SLOSH 10 working,,,51_c,"Vilka av följande påståenden tycker du stämmer på dig? @ Jag blir sällan kvitt arbetet, även på kvällarna tänker jag på det.",32
evethink_4,SLOSH 12 working,,,53_c,"Vilka av följande påståenden tycker du stämmer på dig? @ Jag blir sällan kvitt arbetet, även på kvällarna tänker jag på det.",32
evethink_5,SLOSH 14 working,,,51_c,"Vilka av följande påståenden tycker du stämmer på dig? @ Jag blir sällan kvitt arbetet, även på kvällarna tänker jag på det.",33
evethink_6,SLOSH 16 working,,,57_c,"Vilka av följande påståenden tycker du stämmer på dig? @ Jag blir sällan kvitt arbetet, även på kvällarna tänker jag på det.",33
evethink_7,SLOSH 18 working,,,52_c,"Vilka av följande påståenden tycker du stämmer på dig? @ Jag blir sällan kvitt arbetet, även på kvällarna tänker jag på det.",33
dutynigh_1,SLOSH 06 working,,,A17_f,Vilka av följande påståenden tycker du stämmer på dig? Ange ett alternativ på varje fråga. @ Mina närmaste säger att jag offrar för mycket för arbetet,32
disagree_1,SLOSH 06 working,,,A18,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,34
disagree_2,SLOSH 08 working,,1.0,22,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,34
disagree_2,SLOSH 08 non-working,,1.0,22,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,34
disagree_3,SLOSH 10 working,,,36,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,34
disagree_4,SLOSH 12 working,,,37,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,34
disagree_5,SLOSH 14 working,,,39,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,35
disagree_6,SLOSH 16 working,,,43,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,35
disagree_7,SLOSH 18 working,,,44,Hur löser man i huvudsak meningsskiljaktigheter på din arbetsplats?,35
conflict_1,SLOSH 06 working,,,A19,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats?,1
confcond_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,36
confcond_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",36
confcond_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",36
confreso_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,37
confreso_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",37
confreso_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",37
confpace_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,38
confpace_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",38
confpace_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",38
conftask_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,39
conftask_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",39
conftask_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",39
confresp_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,40
confresp_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",40
confresp_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",40
conflead_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,41
conflead_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",41
conflead_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",41
confcoll_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,42
confcoll_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",42
confcoll_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",42
confclie_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,43
confclie_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",43
confclie_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",43
confelse_1,SLOSH 06 working,,,A20,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,44
confelse_2,SLOSH 08 working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",44
confelse_2,SLOSH 08 non-working,,1.0,27,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",44
conftxt_1,SLOSH 06 working,,,A20_txt,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.,45
conftxt_2,SLOSH 08 working,,1.0,27_txt,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",45
conftxt_2,SLOSH 08 non-working,,1.0,27_txt,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med… @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Om ja: Vad handlade konflikten/konflikterna om? Du kan kryssa i flera alternativ.",45
confmean_1,SLOSH 06 working,,,A21,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Vilken betydelse anser du i stort att konflikten/konflikterna har haft?,46
confmean_2,SLOSH 08 working,,,28,"Strax innan du slutade arbeta, var du indragen i någon form av konflikt på din arbetsplats med …. ? @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Vilken betydelse anser du i stort att konflikten/konflikterna har haft?",46
conflnow_1,SLOSH 06 working,,,A22,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ Pågår någon konflikt fortfarande?,1
conflnow_2,SLOSH 08 working,,,29,"Strax innan du slutade arbeta, var du indragen i någon form av konflikt på din arbetsplats med …. ? @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ Pågår någon konflikt fortfarande?",1
conflnow_3,SLOSH 10 working,,,38,Pågår någon konflikt fortfarande?,1
conflnow_4,SLOSH 12 working,,,38,Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats med … @ Pågår någon konflikt fortfarande?,1
conflnow_5,SLOSH 14 working,,,41,Pågår någon konflikt fortfarande?,47
conflnow_6,SLOSH 16 working,,,45,Pågår någon konflikt fortfarande?,47
conflnow_7,SLOSH 18 working,,,46,Pågår någon konflikt fortfarande?,47
conflyou_1,SLOSH 06 working,,,A23,"Har du under de två senaste åren varit indragen i någon form av konflikt på din arbetsplats? @ På det hela taget, när det gäller konflikter du varit med om, hur har utgången av dessa varit för dig hittills?",48
conflyou_2,SLOSH 08 working,,,30,"Strax innan du slutade arbeta, var du indragen i någon form av konflikt på din arbetsplats med …. ? @ …chefer?/…arbetskamrater?/ … andra personer (t ex patienter, kunder, klienter, passagerare, elever)? @ På det hela taget, när det gäller konflikter du varit med om, hur har utgången av dessa varit för dig hittills?",48
manaknow_1,SLOSH 06 working,,,A24_a,Känner din chef dig?,49
manacare_1,SLOSH 06 working,,,A24_b,Visar din chef omsorg om dig?,49
manacare_2,SLOSH 08 working,,,31_a,"Om du inte har någon chef, fortsätt med fråga nr 33b @ Visar din chef omsorg om dig?",49
manacare_3,SLOSH 10 working,,,28_a,Några ytterligare frågor om din chef. @ Visar din chef omsorg om dig?,49
manalist_1,SLOSH 06 working,,,A24_c,Lyssnar din chef på dig och tar in det du säger?,49
manalist_2,SLOSH 08 working,,,31_b,"Om du inte har någon chef, fortsätt med fråga nr 33b @ Lyssnar din chef på dig och tar in det du säger?",49
manalist_3,SLOSH 10 working,,,28_b,"Några ytterligare frågor om din chef. @ Lyssnar din chef på dig och tar in det du
säger?",49
manalist_4,SLOSH 12 working,,,29,Om relationer till din chef. @ Lyssnar din chef på dig och tar in det du säger?,49
manalist_5,SLOSH 14 working,,,35_j,Mer om din närmaste chef @ Lyssnar din chef på dig och tar in det du säger?,50
manalist_6,SLOSH 16 working,,,39_k,Mer om din närmaste chef @ Lyssnar din chef på dig och tar in det du säger?,50
manalist_7,SLOSH 18 working,,,40_k,Mer om din närmaste chef @ Lyssnar din chef på dig och tar in det du säger?,51
manafait_1,SLOSH 06 working,,,A24_d,Har du förtroende för ledningen?,49
manafait_2,SLOSH 08 working,,1.0,31_d,"Om du inte har någon chef, fortsätt med fråga nr 33b @ Har du förtroende för ledningen?",49
manafait_2,SLOSH 08 non-working,,1.0,31_d,"Om du inte har någon chef, fortsätt med fråga nr 33b @ Har du förtroende för ledningen?",49
honest_1,SLOSH 06 working,,,A25_a,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Ärlig ( = talar och handlar sanningsenligt)",53
honest_3,SLOSH 10 working,,,29_a,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Ärlig (=talar och handlar sanningsenligt)",53
honest_4,SLOSH 12 working,,,30_a,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Ärlig (=talar och handlar sanningsenligt)",53
positive_1,SLOSH 06 working,,,A25_b,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Positiv ( = generellt optimistisk och tillitsfull)",53
bossy_1,SLOSH 06 working,,,A25_c,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Befallande ( = instruerar underordnade på ett bestämmande sätt)",53
just_1,SLOSH 06 working,,,A25_d,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Rättvis ( = agerar i enlighet med vad som är rätt
eller rättvist)",53
just_3,SLOSH 10 working,,,29_b,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Rättvis (=agerar i enlighet med vad som är
rätt eller rättvist)",53
just_4,SLOSH 12 working,,,30_b,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Ärlig (=talar och handlar sanningsenligt)",53
selfinte_1,SLOSH 06 working,,,A25_e,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Egoistisk ( = följer sina egna intressen)",53
selfinte_2,SLOSH 08 working,,,32_a,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Egoistisk ( = följer sina egna intressen)",53
nonparti_1,SLOSH 06 working,,,A25_f,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Ej delaktig ( = ovillig till gemensamma aktiviteter)",53
nonparti_2,SLOSH 08 working,,,32_b,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Ej delaktig ( = ovillig till gemensamma aktiviteter)",53
nonparti_3,SLOSH 10 working,,,29_c,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Ej delaktig (=ovillig till gemensamma
aktiviteter)",53
nonparti_4,SLOSH 12 working,,,30_c,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Ärlig (=talar och handlar sanningsenligt)",53
elitist_1,SLOSH 06 working,,,A25_g,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Elitistisk ( = anser att en liten grupp människor
med likartad bakgrund är överlägsna och skall åtnjuta privilegier)",53
elitist_3,SLOSH 10 working,,,29_d,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Elitistisk (=anser att en liten grupp
människor med likartad bakgrund är överlägsna och skall åtnjuta privilegier)",53
elitist_4,SLOSH 12 working,,,30_d,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet. @ Elitistisk (=anser att en liten grupp
människor med likartad bakgrund är överlägsna och skall åtnjuta privilegier)",53
teambuil_1,SLOSH 06 working,,,A25_h,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Skapar laganda ( = förmåga att förmå gruppmedlemmar att arbeta tillsammans)",53
teambuil_2,SLOSH 08 working,,,32_c,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Skapar laganda ( = förmåga att förmå gruppmedlemmar att arbeta tillsammans)",53
teambuil_3,SLOSH 10 working,,,29_e,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Skapar laganda ( = förmåga att förmå gruppmedlemmar att arbeta tillsammans)",53
teambuil_4,SLOSH 12 working,,,30_e,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Skapar laganda ( = förmåga att förmå gruppmedlemmar att arbeta tillsammans)",53
dictator_1,SLOSH 06 working,,,A25_i,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Diktatorisk ( = tvingar på andra sina värderingar och åsikter)",53
dictator_3,SLOSH 10 working,,,29_f,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Diktatorisk ( = tvingar på andra sina värderingar och åsikter)",53
dictator_4,SLOSH 12 working,,,30_f,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Diktatorisk ( = tvingar på andra sina värderingar och åsikter)",53
sincere_1,SLOSH 06 working,,,A25_j,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Uppriktig ( = menar vad man säger, rak)",53
sincere_3,SLOSH 10 working,,,29_g,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Uppriktig ( = menar vad man säger, rak)",53
sincere_4,SLOSH 12 working,,,30_g,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Uppriktig ( = menar vad man säger, rak)",53
integrat_1,SLOSH 06 working,,,A25_k,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Integrerare ( = integrerar människor eller saker till en sammanhängande, fungerande helhet)",53
integrat_2,SLOSH 08 working,,,32_d,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Integrerare ( = integrerar människor eller saker till en sammanhängande, fungerande helhet)",53
trustwor_1,SLOSH 06 working,,,A25_l,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Uppriktig ( = menar vad man säger, rak)",53
trustwor_3,SLOSH 10 working,,,29_h,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ ( = förtjänar förtroende, håller vad man lovar)",53
trustwor_4,SLOSH 12 working,,,30_h,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ ( = förtjänar förtroende, håller vad man lovar)",53
morboost_1,SLOSH 06 working,,,A25_m,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Moralhöjare ( = ökar de underordnades moral genom uppmuntran, beröm och/eller genom att visa tillförsikt)",53
morboost_3,SLOSH 10 working,,,29_i,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Moralhöjare ( = ökar de underordnades moral genom uppmuntran, beröm och/eller genom att visa tillförsikt)",53
morboost_4,SLOSH 12 working,,,30_i,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Moralhöjare ( = ökar de underordnades moral genom uppmuntran, beröm och/eller genom att visa tillförsikt)",53
autocrat_1,SLOSH 06 working,,,A25_n,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Enväldig (=fattar beslut på ett diktatoriskt sätt)",53
autocrat_3,SLOSH 10 working,,,29_j,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Enväldig (=fattar beslut på ett diktatoriskt sätt)",53
autocrat_4,SLOSH 12 working,,,30_j,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Enväldig (=fattar beslut på ett diktatoriskt sätt)",53
asocial_1,SLOSH 06 working,,,A25_o,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Asocial ( = undviker människor eller grupper, föredrar att vara för sig själv)",53
asocial_2,SLOSH 08 working,,,32_e,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Asocial ( = undviker människor eller grupper, föredrar att vara för sig själv)",53
asocial_3,SLOSH 10 working,,,29_k,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Asocial ( = undviker människor eller grupper, föredrar att vara för sig själv)",53
asocial_4,SLOSH 12 working,,,30_k,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Asocial ( = undviker människor eller grupper, föredrar att vara för sig själv)",53
loner_1,SLOSH 06 working,,,A25_p,"Vid varje beteende eller egenskap, kryssa för hur ofta din närmaste chef gör eller är på det sättet: @ Ensamvarg ( = arbetar för sig själv)",53
